min max t25 t50 t75 t100 tmax n p
444 937 0.000252 0.000097 0.000079 0.000080 50.784771 100000 1
435 944 0.000258 0.000099 0.000081 0.000082 53.119704 200000 2
421 1053 0.000254 0.000098 0.000079 0.000080 52.117895 400000 4
427 1040 0.000252 0.000097 0.000079 0.000080 50.897940 800000 8
423 1014 0.000253 0.000097 0.000079 0.000080 53.925012 1600000 16
420 1022 0.000262 0.000101 0.000082 0.000083 57.600540 3200000 32
414 1055 0.000292 0.000112 0.000091 0.000092 60.881411 4800000 48
