min max t25 t50 t75 t100 tmax n p
426 1030 0.000252 0.000097 0.000079 0.000080 508.121106 1000032 1
420 1068 0.000252 0.000097 0.000079 0.000080 254.687094 1000032 2
427 1006 0.000253 0.000097 0.000079 0.000080 129.253537 1000032 4
420 1033 0.000252 0.000097 0.000079 0.000080 63.766585 1000032 8
418 1000 0.000253 0.000097 0.000079 0.000080 32.145060 1000032 16
425 1086 0.000259 0.000100 0.000081 0.000082 17.088205 1000032 32
414 1027 0.000291 0.000112 0.000091 0.000092 12.492881 1000032 48
