min max t25 t50 t75 t100 tmax n p
417 1045 0.000260 0.000100 0.000081 0.000082 17.556243 1000000 32
421 1083 0.000259 0.000100 0.000081 0.000082 34.836923 2000000 32
413 1060 0.000259 0.000100 0.000081 0.000082 66.244045 4000000 32
