min max t25 t50 t75 t100 tmax n p
441 956 0.000198 0.000080 0.000065 0.000066 327.429072 800000 1
440 956 0.000201 0.000081 0.000066 0.000067 166.212899 800000 2
440 956 0.000205 0.000083 0.000067 0.000068 84.640534 800000 4
438 956 0.000244 0.000096 0.000078 0.000079 49.765176 800000 8
